,image,caption
103,1024138940_f1fefbdce1.jpg,startsen two dogs playing together on beach endsen
104,1024138940_f1fefbdce1.jpg,startsen two large tan dogs play along sandy beach endsen
105,102455176_5f8ead62d5.jpg,startsen man uses ice picks and crampons to scale ice endsen
106,102455176_5f8ead62d5.jpg,startsen an ice climber in blue jacket and black pants is scaling frozen ice wall endsen
107,102455176_5f8ead62d5.jpg,startsen an ice climber scaling frozen waterfall endsen
108,102455176_5f8ead62d5.jpg,startsen person in blue and red ice climbing with two picks endsen
109,102455176_5f8ead62d5.jpg,startsen climber climbing an ice wall endsen
110,1026685415_0431cbf574.jpg,startsen black dog carries green toy in his mouth as he walks through the grass endsen
111,1026685415_0431cbf574.jpg,startsen black dog carrying something through the grass endsen
112,1026685415_0431cbf574.jpg,startsen black dog has blue toy in its mouth endsen
113,1026685415_0431cbf574.jpg,startsen dog in grass with blue item in his mouth endsen
114,1026685415_0431cbf574.jpg,startsen wet black dog is carrying green toy through the grass endsen
115,1028205764_7e8df9a2ea.jpg,startsen man and baby are in yellow kayak on water endsen
116,1028205764_7e8df9a2ea.jpg,startsen man and little boy in blue life jackets are rowing yellow canoe endsen
117,1028205764_7e8df9a2ea.jpg,startsen man and child kayak through gentle waters endsen
118,1028205764_7e8df9a2ea.jpg,startsen man and young boy ride in yellow kayak endsen
119,1028205764_7e8df9a2ea.jpg,startsen man and child in yellow kayak endsen
120,1030985833_b0902ea560.jpg,startsen black dog and brown dog are jumping up to catch red toy endsen
121,1030985833_b0902ea560.jpg,startsen black dog and brown dog play with red toy on courtyard endsen
122,1030985833_b0902ea560.jpg,startsen brown and black lab are outside and the black lab is catching toy in its mouth endsen
123,1030985833_b0902ea560.jpg,startsen black dog snaps at red and black object as brown dog lunges endsen
124,1030985833_b0902ea560.jpg,startsen the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway endsen
125,103106960_e8a41d64f8.jpg,startsen boy with stick kneeling in front of goalie net endsen
126,103106960_e8a41d64f8.jpg,startsen child in red jacket playing street hockey guarding goal endsen
127,103106960_e8a41d64f8.jpg,startsen young kid playing the goalie in hockey rink endsen
128,103106960_e8a41d64f8.jpg,startsen young male kneeling in front of hockey goal with hockey stick in his right hand endsen
129,103106960_e8a41d64f8.jpg,startsen hockey goalie boy in red jacket crouches by goal with stick endsen
130,103195344_5d2dc613a3.jpg,startsen man in black is sitting next to modern art structure in front of glass building endsen
131,103195344_5d2dc613a3.jpg,startsen man sits and reads newspaper by sculpture outside of an office building endsen
132,103195344_5d2dc613a3.jpg,startsen man sits near large statue endsen
133,103195344_5d2dc613a3.jpg,startsen man sitting in front of metal sculpture in front of building endsen
134,103195344_5d2dc613a3.jpg,startsen the man with the backpack is sitting in buildings courtyard in front of an art sculpture reading endsen
135,103205630_682ca7285b.jpg,startsen tent is being set up on the ice endsen
136,103205630_682ca7285b.jpg,startsen two men are about to enter an ice fishing tent on snow covered lake endsen
137,103205630_682ca7285b.jpg,startsen two men setting up blue ice fishing hut on an iced over lake endsen
138,103205630_682ca7285b.jpg,startsen two men standing on an ice looking into something covered with blue tarp endsen
139,103205630_682ca7285b.jpg,startsen two people standing outside blue tent structure on snowy surface endsen
140,1032122270_ea6f0beedb.jpg,startsen woman crouches near three dogs in field endsen
141,1032122270_ea6f0beedb.jpg,startsen three dogs are playing on grassy hill with blue sky endsen
142,1032122270_ea6f0beedb.jpg,startsen three dogs are standing in the grass and person is sitting next to them endsen
143,1032122270_ea6f0beedb.jpg,startsen three dogs on grassy hill endsen
144,1032122270_ea6f0beedb.jpg,startsen three dogs stand in grassy field while person kneels nearby endsen
145,1032460886_4a598ed535.jpg,startsen man is standing in front of skyscraper endsen
146,1032460886_4a598ed535.jpg,startsen man stands in front of skyscraper endsen
147,1032460886_4a598ed535.jpg,startsen man stands in front of very tall building endsen
148,1032460886_4a598ed535.jpg,startsen behind the man in red shirt stands large skyscraper endsen
149,1032460886_4a598ed535.jpg,startsen there is skyscraper in the distance with man walking in front of the camera endsen
150,1034276567_49bb87c51c.jpg,startsen boy bites hard into treat while he sits outside endsen
151,1034276567_49bb87c51c.jpg,startsen child biting into baked good endsen
152,1034276567_49bb87c51c.jpg,startsen small boy putting something in his mouth with both hands endsen
153,1034276567_49bb87c51c.jpg,startsen the boy eats his food outside at the table endsen
154,1034276567_49bb87c51c.jpg,startsen the boy is eating pizza over tin dish endsen
155,104136873_5b5d41be75.jpg,startsen people sit on the mountainside and check out the view endsen
156,104136873_5b5d41be75.jpg,startsen three people are on hilltop overlooking green valley endsen
157,104136873_5b5d41be75.jpg,startsen three people hang out on top of big hill endsen
158,104136873_5b5d41be75.jpg,startsen three people overlook green valley endsen
159,104136873_5b5d41be75.jpg,startsen three people rest on ledge above the moutains endsen
160,1042020065_fb3d3ba5ba.jpg,startsen boy in green shirt is looking down at many inflatable boats endsen
161,1042020065_fb3d3ba5ba.jpg,startsen boy in green shirt watches kayakers endsen
162,1042020065_fb3d3ba5ba.jpg,startsen boy looks over railing at the many boats and rafts below in the water endsen
163,1042020065_fb3d3ba5ba.jpg,startsen young boy overlooking crowd of inflatable boats endsen
164,1042020065_fb3d3ba5ba.jpg,startsen young boy wearing jersey looks down over ledge at many boats in the water endsen
165,1042590306_95dea0916c.jpg,startsen man and woman pose for the camera while another man looks on endsen
166,1042590306_95dea0916c.jpg,startsen man is holding the hand of woman up to his mouth in front of some buildings while another man looks on endsen
167,1042590306_95dea0916c.jpg,startsen multiracial couple posing for picture endsen
168,1042590306_95dea0916c.jpg,startsen asian man and blond woman holding hands outdoors man in background watches endsen
169,1042590306_95dea0916c.jpg,startsen guy in blue shirt biting hand of girl in black striped jacket while another guy watches endsen
170,1045521051_108ebc19be.jpg,startsen person eats takeout while watching small television endsen
171,1045521051_108ebc19be.jpg,startsen person sits on the floor and eats in front of television endsen
172,1045521051_108ebc19be.jpg,startsen television with picture of girl on it endsen
173,1045521051_108ebc19be.jpg,startsen young man sits on the floor by the television with fast food meal in front of him endsen
174,1045521051_108ebc19be.jpg,startsen someone is laying in front of the tv eating food endsen
175,1048710776_bb5b0a5c7c.jpg,startsen couple of several people sitting on ledge overlooking the beach endsen
176,1048710776_bb5b0a5c7c.jpg,startsen group of people sit on wall at the beach endsen
177,1048710776_bb5b0a5c7c.jpg,startsen group of teens sit on wall by beach endsen
178,1048710776_bb5b0a5c7c.jpg,startsen crowd of people at the beach endsen
179,1048710776_bb5b0a5c7c.jpg,startsen several young people sitting on rail above crowded beach endsen
180,1052358063_eae6744153.jpg,startsen boy takes jump on his skateboard while another boy with skateboard watches endsen
181,1052358063_eae6744153.jpg,startsen child is performing skateboard trick while another child with skateboard leans on wall endsen
182,1052358063_eae6744153.jpg,startsen little boy skateboarder is doing trick on his board while another young skateboarder watches endsen
183,1052358063_eae6744153.jpg,startsen young boy skateboarder jumping on platform on skateboard endsen
184,1052358063_eae6744153.jpg,startsen two skateboarders endsen
185,105342180_4d4a40b47f.jpg,startsen girl paddling down large river as seen from behind her endsen
186,105342180_4d4a40b47f.jpg,startsen woman kayaking down river endsen
187,105342180_4d4a40b47f.jpg,startsen woman paddles boat down river endsen
188,105342180_4d4a40b47f.jpg,startsen woman with paddle endsen
189,105342180_4d4a40b47f.jpg,startsen woman with paddle sits in boat on the water endsen
190,1053804096_ad278b25f1.jpg,startsen girl in pigtails splashes in the shallow water endsen
191,1053804096_ad278b25f1.jpg,startsen girls plays in the surf endsen
192,1053804096_ad278b25f1.jpg,startsen girl with pigtails is playing in the ocean by the beach endsen
193,1053804096_ad278b25f1.jpg,startsen girl with pigtails plays in the water endsen
194,1053804096_ad278b25f1.jpg,startsen young girl in pigtails plays in the water endsen
195,1055623002_8195a43714.jpg,startsen group of four children wearing pajamas have pillow fight endsen
196,1055623002_8195a43714.jpg,startsen group of kids have pillow-fight endsen
197,1055623002_8195a43714.jpg,startsen group of young children playing pillow fight on bed endsen
198,1055623002_8195a43714.jpg,startsen children having pillow fight endsen
199,1055623002_8195a43714.jpg,startsen four children are having pillow fight endsen
200,1055753357_4fa3d8d693.jpg,startsen two constructions workers sit on beam taking break endsen
201,1055753357_4fa3d8d693.jpg,startsen two construction workers are sitting up on the side of building endsen
202,1055753357_4fa3d8d693.jpg,startsen two construction workers sitting on an i-beam endsen
203,1055753357_4fa3d8d693.jpg,startsen two construction workers take seat on steel beam endsen
204,1055753357_4fa3d8d693.jpg,startsen two men take break from construction endsen
205,1056249424_ef2a2e041c.jpg,startsen the children are playing in the water endsen
206,1056249424_ef2a2e041c.jpg,startsen two boys one with yellow and orange ball play in some water in front of field endsen
207,1056249424_ef2a2e041c.jpg,startsen two boys play in puddle endsen
208,1056249424_ef2a2e041c.jpg,startsen two children play with balloon in mud on sunny day endsen
209,1056249424_ef2a2e041c.jpg,startsen two kids are running and playing in some water endsen
210,1056338697_4f7d7ce270.jpg,startsen blond woman in blue shirt appears to wait for ride endsen
211,1056338697_4f7d7ce270.jpg,startsen blond woman is on the street hailing taxi endsen
212,1056338697_4f7d7ce270.jpg,startsen woman is signaling is to traffic as seen from behind endsen
213,1056338697_4f7d7ce270.jpg,startsen woman with blonde hair wearing blue tube top is waving on the side of the street endsen
214,1056338697_4f7d7ce270.jpg,startsen the woman in the blue dress is holding out her arm at oncoming traffic endsen
215,1056359656_662cee0814.jpg,startsen little girl looking at brochure on train rides endsen
216,1056359656_662cee0814.jpg,startsen young blond girl with magizine in her hands endsen
217,1056359656_662cee0814.jpg,startsen young girl on train reads book about train rides endsen
218,1056359656_662cee0814.jpg,startsen young girl sits on seat and looks at train pamphlet endsen
219,1056359656_662cee0814.jpg,startsen child sitting down looking at train ride brochure endsen
220,1056873310_49c665eb22.jpg,startsen brown dog is running after black dog on rocky shore endsen
221,1056873310_49c665eb22.jpg,startsen brown dog is running after the black dog endsen
222,1056873310_49c665eb22.jpg,startsen two dogs playing on beach endsen
223,1056873310_49c665eb22.jpg,startsen two dogs run across stones near body of water endsen
224,1056873310_49c665eb22.jpg,startsen two dogs run towards each other on rocky area with water in the background endsen
225,1057089366_ca83da0877.jpg,startsen boy descends off the end of high diving board endsen
226,1057089366_ca83da0877.jpg,startsen child jumps off high diving board into the pool endsen
227,1057089366_ca83da0877.jpg,startsen kid jumps off the diving board and into the swimming pool below endsen
228,1057089366_ca83da0877.jpg,startsen little kid is jumping off high dive at the pool endsen
229,1057089366_ca83da0877.jpg,startsen the boy is jumping off high diving board into the pool endsen
230,1057210460_09c6f4c6c1.jpg,startsen guy stands by window taking his overshirt off endsen
231,1057210460_09c6f4c6c1.jpg,startsen man in tank top stands next to chrome door endsen
232,1057210460_09c6f4c6c1.jpg,startsen man puts his shirt on near an elevator endsen
233,1057210460_09c6f4c6c1.jpg,startsen man stands by an elevator with his head down endsen
234,1057210460_09c6f4c6c1.jpg,startsen the man is putting on his shirt near an elevator endsen
235,1057251835_6ded4ada9c.jpg,startsen light-colored dog runs on the beach endsen
236,1057251835_6ded4ada9c.jpg,startsen small yellow dog runs on beach endsen
237,1057251835_6ded4ada9c.jpg,startsen tan dog runs on sandy beach endsen
238,1057251835_6ded4ada9c.jpg,startsen white dog is running down rocky beach endsen
239,1057251835_6ded4ada9c.jpg,startsen light brown dog running along the beach endsen
240,106490881_5a2dd9b7bd.jpg,startsen boy in his blue swim shorts at the beach endsen
241,106490881_5a2dd9b7bd.jpg,startsen boy smiles for the camera at beach endsen
242,106490881_5a2dd9b7bd.jpg,startsen young boy in swimming trunks is walking with his arms outstretched on the beach endsen
243,106490881_5a2dd9b7bd.jpg,startsen children playing on the beach endsen
244,106490881_5a2dd9b7bd.jpg,startsen the boy is playing on the shore of an ocean endsen
245,106514190_bae200f463.jpg,startsen hiker standing high on bluff overlooking the mountains below endsen
246,106514190_bae200f463.jpg,startsen person on ski 's looks from hill over snow covered landscape endsen
247,106514190_bae200f463.jpg,startsen skier is overlooking snow-covered mountain endsen
248,106514190_bae200f463.jpg,startsen skier is overlooking the beautiful white snow covered landscape endsen
249,106514190_bae200f463.jpg,startsen skier pauses on mountaintop endsen
250,1067180831_a59dc64344.jpg,startsen black and white dog is attempting to catch yellow and purple object in low cut yard endsen
251,1067180831_a59dc64344.jpg,startsen black and white dog jumps after yellow toy endsen
252,1067180831_a59dc64344.jpg,startsen black and white dog jumps to get the frisbee endsen
253,1067180831_a59dc64344.jpg,startsen black dog is jumping up to catch purple and green toy endsen
254,1067180831_a59dc64344.jpg,startsen dog jumps to catch toy endsen
255,1067675215_7336a694d6.jpg,startsen man in blue shorts is laying in the street endsen
256,1067675215_7336a694d6.jpg,startsen man in blue shorts lays down outside in parking lot endsen
257,1067675215_7336a694d6.jpg,startsen man laying down in middle of street during heavy traffic endsen
258,1067675215_7336a694d6.jpg,startsen man lies on mat in parking lot between brown suv and yellow pickup with an open door endsen
259,1067675215_7336a694d6.jpg,startsen shirtless man is laying down in the middle of busy street endsen
260,1067790824_f3cc97239b.jpg,startsen white and black dog and brown dog in sandy terrain endsen
261,1067790824_f3cc97239b.jpg,startsen woolly dog chases doberman on beach endsen
262,1067790824_f3cc97239b.jpg,startsen one dog is chasing another one on the beach endsen
263,1067790824_f3cc97239b.jpg,startsen the two large dogs are running through sand endsen
264,1067790824_f3cc97239b.jpg,startsen two large dogs chasing each other at the beach endsen
265,1072153132_53d2bb1b60.jpg,startsen black and white dog catches toy in midair endsen
266,1072153132_53d2bb1b60.jpg,startsen dog and tennis ball endsen
267,1072153132_53d2bb1b60.jpg,startsen dog is jumping to catch object thrown at it endsen
268,1072153132_53d2bb1b60.jpg,startsen dog leaps while chasing tennis ball through grassy field endsen
269,1072153132_53d2bb1b60.jpg,startsen multicolor dog jumping to catch tennis ball in grassy field endsen
270,107318069_e9f2ef32de.jpg,startsen crowd watching air balloons at night endsen
271,107318069_e9f2ef32de.jpg,startsen group of hot air balloons lit up at night endsen
272,107318069_e9f2ef32de.jpg,startsen people are watching hot air balloons in the park endsen
273,107318069_e9f2ef32de.jpg,startsen people watching hot air balloons endsen
274,107318069_e9f2ef32de.jpg,startsen seven large balloons are lined up at nighttime near crowd endsen
275,1075716537_62105738b4.jpg,startsen child with helmet on his head rides bike endsen
276,1075716537_62105738b4.jpg,startsen little boy rides bike down hill on miniature dirt bike endsen
277,1075716537_62105738b4.jpg,startsen young boy in helmet rides bike on the road endsen
278,1075716537_62105738b4.jpg,startsen the little boy rides his bicycle in race endsen
279,1075716537_62105738b4.jpg,startsen the young boy pedals quickly at bmx race endsen
280,107582366_d86f2d3347.jpg,startsen group of eight people are gathered around table at night endsen
281,107582366_d86f2d3347.jpg,startsen group of people gathered around in the dark endsen
282,107582366_d86f2d3347.jpg,startsen group of people sit around table outside on porch at night endsen
283,107582366_d86f2d3347.jpg,startsen group of people sit outdoors together at night endsen
284,107582366_d86f2d3347.jpg,startsen group of people sitting at table in darkened room endsen
285,1075867198_27ca2e7efe.jpg,startsen man in brown shirt and dark shorts plays on the beach with his two black dogs endsen
286,1075867198_27ca2e7efe.jpg,startsen man in shorts with two black dogs holds ball throwing toy at the beach endsen
287,1075867198_27ca2e7efe.jpg,startsen man playing with two black dogs on the beach endsen
288,1075867198_27ca2e7efe.jpg,startsen man with two dogs on beach endsen
289,1075867198_27ca2e7efe.jpg,startsen man at the beach with two dogs endsen
290,1075881101_d55c46bece.jpg,startsen boy cleans the bubbles off his face endsen
291,1075881101_d55c46bece.jpg,startsen boy covered in suds has his face wiped clean endsen
292,1075881101_d55c46bece.jpg,startsen boy is covered in bubbles endsen
293,1075881101_d55c46bece.jpg,startsen child covered in foam is climbing on black inflatable ramp endsen
294,1075881101_d55c46bece.jpg,startsen person covered in soapy water is getting cleaned off endsen
295,1077546505_a4f6c4daa9.jpg,startsen boy in blue shorts slides down slide into pool endsen
296,1077546505_a4f6c4daa9.jpg,startsen boy in blue swimming trunks slides down yellow slide into wading pool with inflatable toys floating in the water endsen
297,1077546505_a4f6c4daa9.jpg,startsen boy rides down slide into small backyard pool endsen
298,1077546505_a4f6c4daa9.jpg,startsen boy sliding down slide into pool with colorful tubes endsen
299,1077546505_a4f6c4daa9.jpg,startsen child is falling off slide onto colored balloons floating on pool of water endsen
300,1077931201_1e0bb83105.jpg,startsen man in wetsuit is throwing baby wearing wetsuit up into the air endsen
301,1077931201_1e0bb83105.jpg,startsen man in wetsuit is throwing toddler up in the air and is ready to catch him endsen
302,1077931201_1e0bb83105.jpg,startsen man in water throwing little boy up in the air and waiting for him to come down so he can catch him endsen
303,1077931201_1e0bb83105.jpg,startsen the man is in the pool and throwing small boy into the air endsen
304,1077931201_1e0bb83105.jpg,startsen while water droplets fly man throws little boy up in the air endsen
305,1079274291_9aaf896cc1.jpg,startsen little boy sticks his tongue out for the camera another boy looks on endsen
306,1079274291_9aaf896cc1.jpg,startsen two boys make faces endsen
307,1079274291_9aaf896cc1.jpg,startsen two young boys are looking at the camera one smiling the other sticking his tongue out endsen
308,1079274291_9aaf896cc1.jpg,startsen two young boys look up at the camera as one sticks out his tongue endsen
309,1079274291_9aaf896cc1.jpg,startsen two young boys making silly faces endsen
310,10815824_2997e03d76.jpg,startsen blonde horse and blonde girl in black sweatshirt are staring at fire in barrel endsen
311,10815824_2997e03d76.jpg,startsen girl and her horse stand by fire endsen
312,10815824_2997e03d76.jpg,startsen girl holding horse 's lead behind fire endsen
313,10815824_2997e03d76.jpg,startsen man and girl and two horses are near contained fire endsen
314,10815824_2997e03d76.jpg,startsen two people and two horses watching fire endsen
315,1082252566_8c79beef93.jpg,startsen bulldog sheep dog and boxer standing in yard endsen
316,1082252566_8c79beef93.jpg,startsen large brown dog is pushing small boston terrier with his face while anouther dog watches endsen
317,1082252566_8c79beef93.jpg,startsen large skinny dog stands near two smaller dogs int the dirt endsen
318,1082252566_8c79beef93.jpg,startsen there are three dogs starring at ball in the middle of them endsen
319,1082252566_8c79beef93.jpg,startsen three dogs of various sizes endsen
320,1082379191_ec1e53f996.jpg,startsen lady and man with no shirt sit on dock endsen
321,1082379191_ec1e53f996.jpg,startsen man and woman are sitting on dock together endsen
322,1082379191_ec1e53f996.jpg,startsen man and woman sitting on dock endsen
323,1082379191_ec1e53f996.jpg,startsen man and woman sitting on deck next to lake endsen
324,1082379191_ec1e53f996.jpg,startsen shirtless man and woman sitting on dock endsen
325,1084040636_97d9633581.jpg,startsen closeup of white dog that is laying its head on its paws endsen
326,1084040636_97d9633581.jpg,startsen large white dog lying on the floor endsen
327,1084040636_97d9633581.jpg,startsen white dog has its head on the ground endsen
328,1084040636_97d9633581.jpg,startsen white dog is resting its head on tiled floor with its eyes open endsen
329,1084040636_97d9633581.jpg,startsen white dog rests its head on the patio bricks endsen
330,1084104085_3b06223afe.jpg,startsen woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness endsen
331,1084104085_3b06223afe.jpg,startsen woman in blue shorts and white shirt is indoor rock climbing endsen
332,1084104085_3b06223afe.jpg,startsen the girl is climbing rock wall endsen
333,1084104085_3b06223afe.jpg,startsen the girl is in harness climbing rocks endsen
334,1084104085_3b06223afe.jpg,startsen woman climbing an artificial rock wall endsen
335,1087168168_70280d024a.jpg,startsen boy is jumping on an inflatable ring and girl is watching him endsen
336,1087168168_70280d024a.jpg,startsen boy jumping on water jumphouse endsen
337,1087168168_70280d024a.jpg,startsen teenage boy is jumping on an inflatable slide endsen
